
#v3
1495838341.495379 2017-05-27T11:51:31.300Z G  43.329170 -71.608643 452.099752 0.000 0.000 0.0 *
1495838424.001348 2017-05-27T11:52:53.000Z A 710  0.431  0.635  0.863 -0.118  0.098  0.275  9.179  9.584  9.885 *
1495838425.001385 2017-05-27T11:52:54.000Z A 709  0.392  0.626  0.824 -0.118  0.105  0.314  9.140  9.603  9.924 *
1495838426.001273 2017-05-27T11:52:55.000Z A 694  0.431  0.624  0.902 -0.079  0.113  0.314  9.258  9.629  9.924 *
1495838427.001117 2017-05-27T11:52:56.000Z A 697  0.314  0.618  0.824 -0.079  0.109  0.314  9.336  9.605  9.885 *
1495838428.000390 2017-05-27T11:52:57.000Z A 707  0.353  0.614  0.784 -0.079  0.110  0.392  9.179  9.597  9.924 *
1495838429.001016 2017-05-27T11:52:58.000Z A 693  0.392  0.623  0.824 -0.157  0.099  0.275  9.218  9.603  9.924 *
1495838430.001451 2017-05-27T11:52:59.000Z A 710  0.392  0.622  0.902 -0.118  0.106  0.392  9.297  9.620  9.885 *
1495838431.000681 2017-05-27T11:53:00.000Z A 708  0.392  0.625  0.824 -0.118  0.102  0.314  9.375  9.608  9.885 *
1495838432.001343 2017-05-27T11:53:01.000Z A 691  0.392  0.618  0.863 -0.157  0.103  0.353  9.297  9.592  9.924 *
1495838433.002433 2017-05-27T11:53:02.000Z A 712  0.431  0.616  0.824 -0.157  0.097  0.314  9.297  9.598  9.964 *
1495838434.000364 2017-05-27T11:53:03.000Z A 703  0.431  0.625  0.863 -0.079  0.103  0.314  9.297  9.598  10.003 *
1495838435.001382 2017-05-27T11:53:04.000Z A 710  0.392  0.625  0.824 -0.118  0.108  0.275  9.297  9.605  9.885 *
1495838436.001079 2017-05-27T11:53:05.000Z A 706  0.314  0.632  0.941 -0.079  0.103  0.314  9.258  9.600  9.885 *
1495838437.000345 2017-05-27T11:53:06.000Z A 696  0.353  0.614  0.902 -0.118  0.101  0.275  9.297  9.589  9.885 *
1495838437.233041 2017-05-27T11:53:07.000Z G  43.329135 -71.608640 440.944896 12.548 0.131 14.3 *
1495838438.000830 2017-05-27T11:53:07.000Z A 708  0.431  0.622  0.863 -0.118  0.095  0.314  9.258  9.603  9.846 *
1495838439.000657 2017-05-27T11:53:08.000Z A 691  0.431  0.629  0.863 -0.118  0.100  0.314  9.258  9.592  9.924 *
1495838440.000841 2017-05-27T11:53:09.000Z A 708  0.353  0.629  0.863 -0.118  0.107  0.314  9.022  9.592  9.885 *
1495838441.001446 2017-05-27T11:53:10.000Z A 708  0.431  0.634  0.863 -0.079  0.112  0.275  9.258  9.602  9.885 *
1495838442.000811 2017-05-27T11:53:11.000Z A 696  0.431  0.633  0.863 -0.118  0.107  0.392  9.336  9.608  9.885 *
1495838443.000999 2017-05-27T11:53:12.000Z A 710  0.392  0.623  0.824 -0.235  0.103  0.275  9.258  9.608  9.885 *
1495838444.001276 2017-05-27T11:53:13.000Z A 692  0.392  0.628  0.902 -0.157  0.104  0.275  9.297  9.616  9.924 *
1495838445.001466 2017-05-27T11:53:14.000Z A 710  0.431  0.624  0.863 -0.118  0.111  0.392  9.258  9.606  10.003 *
1495838446.000945 2017-05-27T11:53:15.000Z A 709  0.392  0.617  0.863 -0.353  0.112  0.275  9.258  9.599  9.807 *
1495838447.005718 2017-05-27T11:53:16.000Z A 694  0.353  0.632  0.863 -0.235  0.100  0.353  9.140  9.592  9.885 *
1495838448.001061 2017-05-27T11:53:17.000Z A 708  0.353  0.622  0.902 -0.079  0.106  0.275  9.297  9.607  9.846 *
1495838449.000914 2017-05-27T11:53:18.000Z A 705  0.431  0.633  0.941 -0.157  0.103  0.275  9.258  9.598  9.924 *
1495838450.000433 2017-05-27T11:53:19.000Z A 709  0.392  0.615  0.902 -0.079  0.118  0.353  9.297  9.589  9.964 *
1495838451.000342 2017-05-27T11:53:20.000Z A 710  0.353  0.628  0.824 -0.157  0.106  0.314  9.218  9.616  9.964 *
1495838452.001472 2017-05-27T11:53:21.000Z A 679  0.392  0.622  0.824 -0.079  0.109  0.431  9.218  9.593  9.885 *
1495838453.000459 2017-05-27T11:53:22.000Z A 705  0.431  0.625  0.784 -0.118  0.103  0.314  9.297  9.623  9.924 *
1495838454.001159 2017-05-27T11:53:23.000Z A 707  0.314  0.624  0.824 -0.079  0.110  0.314  9.258  9.603  9.807 *
1495838455.001138 2017-05-27T11:53:24.000Z A 706  0.471  0.631  0.902 -0.157  0.107  0.314  9.218  9.599  9.885 *
1495838456.000898 2017-05-27T11:53:25.000Z A 708  0.392  0.632  0.863 -0.118  0.099  0.392  9.375  9.603  9.964 *
1495838457.001295 2017-05-27T11:53:26.000Z A 693  0.431  0.623  0.863 -0.118  0.103  0.353  9.218  9.606  10.003 *
1495838458.000861 2017-05-27T11:53:27.000Z A 707  0.392  0.623  0.824 -0.157  0.107  0.314  9.297  9.600  9.885 *
1495838459.001624 2017-05-27T11:53:28.000Z A 691  0.431  0.625  0.824 -0.118  0.111  0.314  9.297  9.600  9.846 *
1495838460.001113 2017-05-27T11:53:29.000Z A 707  0.353  0.622  0.902 -0.118  0.109  0.314  9.336  9.603  9.885 *
1495838461.001422 2017-05-27T11:53:30.000Z A 710  0.353  0.618  0.824 -0.118  0.102  0.314  9.179  9.604  9.846 *
1495838462.002212 2017-05-27T11:53:31.000Z A 693  0.431  0.630  0.863 -0.079  0.101  0.353  9.218  9.585  9.846 *
1495838463.000720 2017-05-27T11:53:32.000Z A 709  0.392  0.638  0.863 -0.157  0.107  0.392  9.375  9.613  9.964 *
1495838464.001532 2017-05-27T11:53:33.000Z A 701  0.392  0.623  0.824 -0.079  0.106  0.353  9.258  9.600  9.885 *
1495838465.000616 2017-05-27T11:53:34.000Z A 699  0.431  0.635  0.941 -0.118  0.110  0.275  9.258  9.591  9.885 *
1495838466.001475 2017-05-27T11:53:35.000Z A 705  0.353  0.623  0.941 -0.157  0.099  0.392  9.258  9.599  9.846 *
1495838467.001462 2017-05-27T11:53:36.000Z A 698  0.392  0.627  0.863 -0.196  0.104  0.275  9.336  9.600  9.846 *
1495838468.000231 2017-05-27T11:53:37.000Z A 708  0.431  0.643  0.824 -0.118  0.111  0.353  9.218  9.599  9.846 *
1495838469.000815 2017-05-27T11:53:38.000Z A 712  0.431  0.628  0.902 -0.079  0.109  0.353  9.375  9.618  9.885 *
1495838470.001642 2017-05-27T11:53:39.000Z A 704  0.353  0.638  0.863 -0.118  0.098  0.314  9.297  9.597  9.964 *
1495838471.000429 2017-05-27T11:53:40.000Z A 709  0.431  0.631  0.863 -0.118  0.102  0.275  9.258  9.605  9.885 *
1495838472.001275 2017-05-27T11:53:41.000Z A 693  0.471  0.622  0.824 -0.118  0.100  0.235  9.336  9.603  9.924 *
1495838473.001559 2017-05-27T11:53:42.000Z A 711  0.392  0.626  0.824 -0.079  0.113  0.314  9.336  9.612  9.885 *
1495838474.001516 2017-05-27T11:53:43.000Z A 707  0.431  0.632  0.863 -0.118  0.105  0.314  9.375  9.604  9.924 *
1495838475.001109 2017-05-27T11:53:44.000Z A 708  0.392  0.618  0.863 -0.079  0.109  0.314  9.336  9.610  9.846 *
1495838476.001486 2017-05-27T11:53:45.000Z A 708  0.353  0.625  0.863 -0.118  0.105  0.314  9.297  9.603  9.846 *
1495838477.001499 2017-05-27T11:53:46.000Z A 694  0.392  0.624  0.824 -0.157  0.101  0.314  9.218  9.613  9.964 *
1495838478.001415 2017-05-27T11:53:47.000Z A 689  0.353  0.619  0.941 -0.196  0.110  0.314  9.375  9.611  9.964 *
1495838479.001418 2017-05-27T11:53:48.000Z A 710  0.275  0.618  0.824 -0.118  0.110  0.353  9.258  9.589  10.042 *
1495838480.001387 2017-05-27T11:53:49.000Z A 710  0.392  0.621  0.902 -0.275  0.096  0.314  9.375  9.609  9.846 *
1495838481.000359 2017-05-27T11:53:50.000Z A 690  0.431  0.642  0.863 -0.079  0.099  0.353  9.375  9.608  9.924 *
1495838482.001481 2017-05-27T11:53:51.000Z A 697  0.431  0.628  0.824 -0.118  0.116  0.392  9.218  9.613  9.924 *
1495838483.001009 2017-05-27T11:53:52.000Z A 707  0.392  0.622  0.784 -0.118  0.106  0.471  9.258  9.589  9.846 *
