
#v3
2017-10-06T13:53:26.000Z G  43.329218 -71.608590 400.262480 0.00 0 54 *
2017-10-06T13:53:29.000Z A 1  0.000  1.569  1.569  0.000  1.647  1.647  0.000  8.434  8.434 *
2017-10-06T13:56:32.000Z A 841 -3.217  0.208  3.334 -1.412  0.255  2.471  5.139  9.542  14.632 *
2017-10-06T13:56:33.000Z A 826 -2.903  0.200  3.491 -1.412  0.237  2.510  4.943  9.499  14.514 *
2017-10-06T13:56:34.000Z A 840 -2.785  0.211  3.452 -1.569  0.247  2.432  5.492  9.558  14.396 *
2017-10-06T13:56:35.000Z A 841 -2.864  0.219  3.530 -1.608  0.247  2.510  5.296  9.505  14.788 *
2017-10-06T13:56:36.000Z A 817 -3.099  0.248  3.687 -1.608  0.230  2.589  5.256  9.537  14.710 *
2017-10-06T13:56:37.000Z A 843 -3.099  0.208  3.609 -2.510  0.243  2.824  4.786  9.492  14.788 *
2017-10-06T13:56:37.000Z A 830 -3.334  0.211  3.648 -1.412  0.256  2.550  5.139  9.498  13.965 *
2017-10-06T13:56:39.000Z A 835 -2.903  0.243  3.570 -1.255  0.231  2.236  5.374  9.550  14.161 *
2017-10-06T13:56:40.000Z A 838 -2.981  0.222  3.766 -1.569  0.222  2.628  5.256  9.573  14.357 *
2017-10-06T13:56:41.000Z A 815 -2.785  0.228  3.687 -1.569  0.254  2.314  5.374  9.541  14.082 *
2017-10-06T13:56:42.000Z A 843 -2.864  0.218  3.530 -1.530  0.247  2.471  5.178  9.528  14.357 *
2017-10-06T13:56:42.000Z A 814 -3.138  0.223  3.766 -1.687  0.222  2.197  5.256  9.534  14.632 *
2017-10-06T13:56:44.000Z A 834 -2.589  0.206  3.530 -1.412  0.270  2.785  4.786  9.570  14.082 *
2017-10-06T13:56:45.000Z A 840 -2.864  0.221  3.883 -1.844  0.254  2.550  5.256  9.521  14.043 *
2017-10-06T13:56:46.000Z A 816 -2.903  0.220  3.570 -1.804  0.241  2.236  5.099  9.558  14.318 *
2017-10-06T13:56:47.000Z A 838 -3.177  0.227  3.883 -1.804  0.245  2.942  4.433  9.548  14.318 *
2017-10-06T13:56:47.000Z A 833 -2.903  0.222  3.844 -1.451  0.248  2.118  5.452  9.540  14.828 *
2017-10-06T13:56:49.000Z A 831 -2.864  0.229  3.923 -1.569  0.247  2.981  5.256  9.531  15.142 *
2017-10-06T13:56:50.000Z A 841 -2.981  0.215  3.766 -1.569  0.249  2.158  5.139  9.506  14.514 *
2017-10-06T13:56:51.000Z A 813 -2.746  0.252  3.413 -1.334  0.221  2.589  5.021  9.559  14.514 *
2017-10-06T13:56:52.000Z A 840 -3.295  0.210  3.766 -1.804  0.232  2.942  5.217  9.510  14.828 *
2017-10-06T13:56:53.000Z A 830 -3.099  0.230  3.923 -1.608  0.258  2.667  5.256  9.512  14.592 *
2017-10-06T13:56:54.000Z A 837 -2.864  0.214  3.491 -1.726  0.234  3.020  5.256  9.571  14.945 *
2017-10-06T13:56:55.000Z A 838 -2.864  0.231  3.805 -1.451  0.250  2.393  5.609  9.541  14.671 *
2017-10-06T13:56:56.000Z A 815 -2.824  0.218  3.491 -1.451  0.230  3.138  5.021  9.570  14.318 *
2017-10-06T13:56:57.000Z A 824 -2.746  0.190  3.923 -1.412  0.248  2.314  5.492  9.534  14.749 *
2017-10-06T13:56:58.000Z A 822 -3.295  0.212  3.844 -1.530  0.239  2.746  5.099  9.506  15.259 *
2017-10-06T13:56:59.000Z A 839 -3.020  0.195  3.687 -1.647  0.230  2.471  5.296  9.532  14.278 *
2017-10-06T13:57:00.000Z A 837 -2.707  0.236  3.805 -1.334  0.225  2.628  5.296  9.575  14.553 *
2017-10-06T13:57:01.000Z A 813 -3.138  0.252  3.962 -1.491  0.215  2.981  5.139  9.550  14.475 *
2017-10-06T13:57:02.000Z A 842 -3.177  0.185  3.844 -1.687  0.243  2.510  5.727  9.550  14.632 *
2017-10-06T13:57:03.000Z A 828 -3.060  0.213  3.727 -1.687  0.242  2.824  5.296  9.541  14.906 *
2017-10-06T13:57:04.000Z A 841 -3.177  0.209  4.040 -2.118  0.230  2.981  5.139  9.491  14.671 *
2017-10-06T13:57:05.000Z A 840 -2.942  0.203  3.609 -1.491  0.251  2.354  5.178  9.553  14.671 *
2017-10-06T13:57:06.000Z A 814 -2.864  0.213  3.373 -1.451  0.280  2.589  5.060  9.479  14.985 *
2017-10-06T13:57:07.000Z A 839 -3.373  0.205  3.923 -1.608  0.236  2.785  5.256  9.558  14.592 *
2017-10-06T13:57:08.000Z A 822 -2.903  0.198  3.609 -1.569  0.264  2.667  4.903  9.520  14.161 *
2017-10-06T13:57:09.000Z A 837 -3.334  0.205  3.923 -1.608  0.216  3.020  5.178  9.555  14.828 *
2017-10-06T13:57:10.000Z A 840 -3.177  0.207  3.530 -1.608  0.220  3.020  5.335  9.452  14.592 *
