
#v3
2017-06-24T11:36:57.000Z G  44.011608 -71.096930 530.839912 0.000 0.000 0 *
2017-06-24T11:36:57.000Z A 1 -1.177 -1.177  0.000 -0.745 -0.745  0.000  0.000  8.041  8.041 *
2017-06-24T11:39:47.000Z A 818 -4.315  0.063  3.256 -1.412  1.819  6.786  4.158  9.541  18.593 *
2017-06-24T11:39:48.000Z A 840 -4.903  0.063  3.334 -1.294  1.753  6.472  3.883  9.534  19.770 *
2017-06-24T11:39:49.000Z A 805 -4.629  0.012  3.020 -1.334  1.805  6.433  3.452  9.559  18.240 *
2017-06-24T11:39:50.000Z A 845 -4.511  0.083  3.491 -1.530  1.754  6.708  3.766  9.452  18.436 *
2017-06-24T11:39:50.000Z A 846 -4.825  0.053  3.177 -1.412  1.806  6.512  3.844  9.601  18.358 *
2017-06-24T11:39:52.000Z A 821 -4.119  0.079  3.452 -1.608  1.724  6.904  4.119  9.491  18.554 *
2017-06-24T11:39:53.000Z A 845 -5.099  0.071  3.334 -1.216  1.786  6.433  4.197  9.489  18.986 *
2017-06-24T11:39:54.000Z A 820 -4.629  0.066  3.570 -1.412  1.756  6.982  4.001  9.444  18.711 *
2017-06-24T11:39:55.000Z A 846 -4.550  0.043  3.177 -1.412  1.781  6.747  4.237  9.490  18.593 *
2017-06-24T11:39:55.000Z A 843 -4.237  0.058  2.981 -1.412  1.765  7.649  2.707  9.497  18.319 *
2017-06-24T11:39:57.000Z G  44.011608 -71.097008 542.322852 0.003 0.000 277 *
2017-06-24T11:39:57.000Z A 826 -4.550  0.087  3.609 -1.569  1.776  6.982  4.119  9.388  18.515 *
2017-06-24T11:39:58.000Z A 846 -4.472  0.092  3.373 -1.098  1.813  6.394  4.315  9.636  18.201 *
2017-06-24T11:39:59.000Z A 821 -4.668  0.024  2.785 -1.451  1.797  6.472  4.393  9.590  18.201 *
2017-06-24T11:40:00.000Z A 845 -4.472  0.128  3.530 -1.491  1.838  6.237  4.119  9.528  18.829 *
2017-06-24T11:40:00.000Z A 845 -4.315  0.074  3.020 -1.451  1.823  6.865  3.766  9.462  18.593 *
