
#v3
1496703635.343991 2017-06-11T16:04:06.000Z A 819 -0.628 -0.387 -0.196  0.000  0.146  0.471  9.414  9.698  10.003 *
1496703636.344080 2017-06-11T16:04:07.000Z A 846 -0.706 -0.395 -0.196  0.000  0.146  0.353  9.493  9.699  9.924 *
1496703637.349687 2017-06-11T16:04:08.000Z A 833 -0.549 -0.388 -0.196 -0.039  0.145  0.510  9.454  9.686  9.964 *
1496703638.350786 2017-06-11T16:04:09.000Z A 844 -0.588 -0.391 -0.196  0.000  0.144  0.314  9.336  9.702  10.003 *
1496703639.351847 2017-06-11T16:04:10.000Z A 843 -0.588 -0.387 -0.157  0.000  0.143  0.392  9.414  9.697  9.964 *
1496703640.352885 2017-06-11T16:04:11.000Z A 817 -0.628 -0.408 -0.196  0.000  0.152  0.392  9.414  9.700  9.924 *
1496703641.353854 2017-06-11T16:04:12.000Z A 845 -0.628 -0.398 -0.157 -0.079  0.140  0.314  9.218  9.695  9.924 *
1496703642.354520 2017-06-11T16:04:12.000Z A 822 -0.706 -0.396 -0.157  0.000  0.140  0.314  9.336  9.678  9.924 *
1496703643.355118 2017-06-11T16:04:14.000Z A 838 -0.588 -0.391 -0.157 -0.039  0.136  0.353  9.454  9.704  10.003 *
1496703644.355485 2017-06-11T16:04:15.000Z A 846 -0.628 -0.385 -0.157 -0.039  0.150  0.431  9.336  9.689  10.120 *
1496703645.356238 2017-06-11T16:04:16.000Z A 830 -0.941 -0.407 -0.118 -0.157  0.147  0.431  8.748  9.693  10.160 *
1496703646.356256 2017-06-11T16:04:17.000Z A 847 -0.667 -0.393 -0.079 -0.196  0.141  0.431  9.140  9.691  10.317 *
1496703647.357693 2017-06-11T16:04:18.000Z A 816 -0.667 -0.395 -0.196 -0.039  0.144  0.431  9.414  9.696  9.964 *
1496703648.358477 2017-06-11T16:04:19.000Z A 847 -0.981 -0.391  0.079 -0.392  0.149  0.824  8.787  9.689  10.670 *
1496703649.358514 2017-06-11T16:04:20.000Z A 842 -0.824 -0.386  0.079 -0.353  0.155  0.549  9.101  9.702  10.238 *
1496703650.358766 2017-06-11T16:04:21.000Z A 124 -0.510 -0.396 -0.275  0.039  0.127  0.314  9.571  9.712  9.885 *
1496703651.359677 2017-06-11T16:04:22.000Z A 822 -0.667 -0.395  0.000 -0.118  0.142  0.353  9.218  9.685  10.042 *
1496703652.360662 2017-06-11T16:04:23.000Z A 834 -0.588 -0.401 -0.157 -0.079  0.156  0.392  9.375  9.692  9.924 *
1496703653.361690 2017-06-11T16:04:24.000Z A 823 -1.138 -0.403  0.157 -0.275  0.157  0.667  8.630  9.690  11.023 *
1496703654.362106 2017-06-11T16:04:25.000Z A 847 -0.667 -0.394 -0.235  0.000  0.140  0.353  9.218  9.700  10.513 *
1496703655.362305 2017-06-11T16:04:26.000Z A 842 -0.863 -0.387  0.235 -0.510  0.146  0.549  8.983  9.690  10.238 *
1496703656.362591 2017-06-11T16:04:27.000Z A 846 -0.588 -0.393 -0.196 -0.039  0.142  0.353  9.454  9.704  9.964 *
1496703657.363584 2017-06-11T16:04:27.000Z A 835 -0.588 -0.394 -0.157 -0.039  0.141  0.314  9.454  9.697  9.964 *
1496703658.364711 2017-06-11T16:04:29.000Z A 835 -0.549 -0.400 -0.235 -0.079  0.144  0.353  9.414  9.690  9.924 *
1496703659.365337 2017-06-11T16:04:30.000Z A 845 -0.549 -0.390 -0.118  0.000  0.150  0.353  9.454  9.699  9.964 *
1496703660.366297 2017-06-11T16:04:31.000Z A 822 -0.667 -0.392 -0.196  0.000  0.141  0.314  9.375  9.696  10.003 *
1496703661.366407 2017-06-11T16:04:32.000Z A 848 -0.784 -0.395 -0.079 -0.079  0.141  0.471  9.336  9.711  10.003 *
1496703662.044767 2017-06-11T16:04:33.000Z G  43.616957 -71.166037 588.582696 0.750 0.006 215.9 *
1496703662.366996 2017-06-11T16:04:33.000Z A 829 -0.588 -0.403 -0.196  0.000  0.146  0.392  9.454  9.703  9.924 *
1496703663.367484 2017-06-11T16:04:34.000Z A 827 -0.588 -0.401 -0.196 -0.079  0.141  0.353  9.414  9.706  10.042 *
1496703664.368093 2017-06-11T16:04:35.000Z A 848 -0.706 -0.402 -0.196 -0.039  0.145  0.353  9.454  9.708  10.042 *
1496703665.368253 2017-06-11T16:04:36.000Z A 841 -0.745 -0.406 -0.079 -0.157  0.143  0.392  9.218  9.703  10.317 *
1496703666.368749 2017-06-11T16:04:37.000Z A 848 -0.706 -0.394 -0.196 -0.039  0.148  0.353  9.414  9.696  9.924 *
1496703667.369362 2017-06-11T16:04:38.000Z A 831 -1.177 -0.395  0.039 -0.314  0.145  0.471  8.904  9.685  10.395 *
